SEAWEA_ID,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id
1,1,Lower Sesan 2,Lower Sesan II,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Cambodia,2017,Operational,75,7729,297.3715368,242.7875581,252.7658063,2348.304461,1628.968492,1790,5.4,-999.9,-999.9,83.0427359,-999.9,-999.9,400,Hydropower,Flood control,106.256674,13.552205,83
2,6,Xe Namnoy Dam,Xe Pian Xe Nam Noy,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,73.7,1600,40.57826571,10.97605441,34.49152585,829.2789795,109.3788326,704.8871326,38.1,-999.9,-999.9,764.3566349,673.5,40,410,Hydropower,SEAWEA_UNKNOWN,106.605648,15.026481,179
3,7,Xe Pian Dam,Xe Pian,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,48,1307,-999.9,-999.9,-999.9,28.72,-999.9,20,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,0,Hydropower,SEAWEA_UNKNOWN,106.523472,15.058667,
4,9,Nam Chiane 1,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2018,Operational,93,294.5,322,-999.9,322,14,-999.9,14,-999.9,-999.9,1040,-999.9,600,11.43,104,Hydropower,SEAWEA_UNKNOWN,103.52122,19.06521,
5,11,Nam Mang 3,Nam Mang 3,Nan Mang 3,Storage,Laos,2004,Operational,28,436,10.2,6.919885163,10.2,58,25.33099682,49.3,47.7,750,742,742,543,9.22,40,Hydropower,Irrigation,102.768653,18.35067,106
6,12,Sayaboury Dam (Xayaburi),Xayaburi,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,33,820,225,63.4860455,191.25,1072.219945,868.1335785,911.3869533,49.7,-999.9,270,278.3912404,24,6018,1260,Hydropower,SEAWEA_UNKNOWN,101.817244,19.245256,175
7,13,Nam Ngiep 1,Nam Ngiep I,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,167,530,67.94831658,42.1455593,66.9,1200,1200,1200,20.5,323.5,296,307.9052624,130.9,-999.9,562,Hydropower,SEAWEA_UNKNOWN,103.52405,18.646599,108
8,17,Hua Na,Hua Na,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1995,Operational,17,207,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Hydropower,SEAWEA_UNKNOWN,104.702267,15.1353,
9,26,Taurus Tun,Shaba,Shaba,Run of River,China,2008,Operational,23.8,-999.9,-999.9,-999.9,0.22068,-999.9,-999.9,316,-999.9,-999.9,-999.9,-999.9,59,-999.9,24,Hydropower,SEAWEA_UNKNOWN,99.9125945,25.8038255,
10,27,SEAWEA_UNKNOWN,Weiyuan River,Weiyuan River Jinggu County Simao District,Run of River,China,2010,Operational,-99,-99,-99,-99,8.8145,-99,-99,246.15,17.5,-999.9,-999.9,-999.9,64,-999.9,72,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.562,23.2786,
11,28,SEAWEA_UNKNOWN,Diqing Luoma,Yunnan Diqing Luoma Hydroelectric,Run of River,China,2010,Operational,-99,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,75,-999.9,60,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,98.9508,27.9014,
12,30,Nam Tha 1,Nam Tha 1,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,93.6,349.2,32.58300546,16.9965072,27.69555464,764.6797338,273.03249,649.9777737,-999.9,-999.9,-999.9,438.6779325,-999.9,-999.9,168,Hydropower,SEAWEA_UNKNOWN,100.901111,20.245833,121
13,31,Nanhe 1,Yun County Nan River,Yunnan Yun County Nan River,Run of River,China,2009,Operational,56.8,147.9,-999.9,-999.9,5.07,11.36,-999.9,10.08,-999.9,-999.9,-999.9,-999.9,70,-999.9,40,Hydropower,SEAWEA_UNKNOWN,100.0121484,24.3424683,
14,32,Nam San 3B,Nam San 3B,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2015,Operational,45,-999.9,-999.9,-999.9,0.7,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,45,Hydropower,SEAWEA_UNKNOWN,103.6201,19.0849,
15,33,Nam Emoun Dam,SEAWEA_UNKNOWN,Nam Emoun,Canal,Laos,2024,Operational,27.6,87.25,-999.9,-999.9,0.18,-999.9,-999.9,0.94,-999.9,792.2,-999.9,780,397,37,129,Hydropower,SEAWEA_UNKNOWN,107.026389,15.555278,
16,34,Laoyinyan,Laoyinyan,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1997,Operational,4.23,-999.9,-999.9,-999.9,-999.9,1092,-999.9,10.92,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,16,Hydropower,SEAWEA_UNKNOWN,99.81754,24.469128,
17,35,Dak E Mule,Dak E Mule,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2018,Cancelled,103.2,622,-999.9,-999.9,9.6,-999.9,-999.9,243.1,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,105,Hydropower,SEAWEA_UNKNOWN,107.071555,15.554859,
18,36,Krong No 2 (Th·__y __i·_án Krong No 2),SEAWEA_UNKNOWN,Krong No 2 ,SEAWEA_UNKNOWN,Vietnam,2017,Operational,-99,-99,-99,-99,-99,-99,-99,9.3,15.1,-999.9,-999.9,-999.9,-999.9,-999.9,30,Hydropower,SEAWEA_UNKNOWN,108.355833,12.254167,
19,342,Nam Ngum 1,Nam Ngum,Nam Ngum 1,Storage,Laos,1972,Operational,75,468,502.2793384,320,370,7030,4700,7030,16.1,-999.9,212,181.4126742,45.5,-999.9,155,Hydropower,SEAWEA_UNKNOWN,102.5491,18.531233,110
20,349,Ubol Ratana,Ubol Ratana,SEAWEA_UNKNOWN,Storage,Thailand,1966,Operational,35,880,410,300,410,2300,1761,2263,7.4,-999.9,-999.9,168.544793,-99,-999.9,25.2,Irrigation,Irrigation,102.617817,16.772725,171
21,350,Lam Pao,Lam Pao,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1969,Operational,33,7800,300,119.5587366,240,2450,1400,1430,7.1,-999.9,-999.9,161.0606153,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,103.453125,16.603534,75
22,358,Noi,Sirindhorn,SEAWEA_UNKNOWN,Storage,Thailand,1971,Operational,42,940,288.3,230,288.3,2000,1135,1966,8.5,-999.9,-999.9,137.4859969,-99,-999.9,36,Hydropower,Irrigation,105.430544,15.205083,150
23,1785,Manwan,Manwan,Manwan,Storage,China,1995,Operational,126,418,25.22459534,19.95166896,21.44090604,732.8967879,555.9123374,622.9622697,25,-999.9,-999.9,992.2870498,69.3,-999.9,1605,Hydropower,SEAWEA_UNKNOWN,100.448067,24.623123,92
24,1904,Nong Han Lake,Nong Han Lake,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,100,1873.9,-99,300,4.1,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.262951,17.148796,
